,origins,manufacturing_places,purchase_places
66132,ESTADOS UNIDOS,ESTADOS UNIDOS,"MEXICO,WALMART"
66240,,Danemark,"France,Paris,Lille"
66511,México,Ciudad de México,Walmart
66667,,suisse,"papeete,arue"
66682,MEXICO,MEXICO,MEXICO
66861,,Germany,"Moncton,New Brunswick,Canada"
66887,Great Britain,United Kingdom,"Liverpool,United Kingdom"
67528,,China,"Hilo,Hawaii,US"
67806,Royaume-Uni,Royaume-Uni,France
67831,,USA,"Chicago,Illinois,USA,United States"
67846,MEXICO,MEXICO,MEXICO
67881,EUA,EUA,MEXICO
67882,EUA,EUA,MEXICO
67956,,Italy,"Berkeley,CA,USA"
68043,,Taiwan,"Lyon,France"
68122,Estados unidos,Ciudad de México,Walmart
68123,Estados Unidos,Ciudad de México,Walmart
68124,Estados Unidos,Ciudad de México,Walmart
68125,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,SUPERMERCADOS
68126,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,SUPERMERCADOS
68127,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,SUPERMERCADOS
68128,CIUDAD DE MÉXICO,CIUDAD DE  MÉXICO,SUPERMERCADOS
68130,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,SUPERMERCADO
68131,México,Ciudad de México,Walmart
68132,México,Ciudad de México,Walmart
68133,México,Ciudad de México,Walmart
68134,México,Ciudad de México,Walmart
68135,México,ciudad de México,Walmart
68136,México,Ciudad de México,Walmart
68149,Estados Unidos,Ciudad de México,Walmart
68165,EE. UU,EE.UU.,México
68173,Estados Unidos,Ciudad de México,Walmart
68174,Estados Unidos,Ciudad de Mexico,Walmart
68187,México,Ciudad de México,Walmart
68195,,USA,México
68356,,Italie,France
68375,,Royaume-Uni,"Royaume-Uni,Londres"
68884,USA,USA,United States
69415,,Angleterre,France
70134,,Royaume-Uni,"France,Paris"
70139,,France,"Liévin,France"
70187,,Spain,"Liverpool,United Kingdom"
70414,,États-Unis,"Noyelles-Godault,France"
70415,,États-Unis,"Noyelles-Godault,France"
70448,ESTADOS UNIDOS,ESTADOS UNIDOS,MEXICO
70498,,"Oragon,USA","Bellingham,Washington,USA"
70650,EUA,EUA,MEXICO
70654,ESTADOS UNIDOS,ESTADOS UNIDOS,MEXICO
70655,Estados Unidos,Ciudad de México,Walmart
70656,EUA,EUA,MEXICO
70670,EUA,EUA,MEXICO
70771,,Espagne,France
70868,,"Irlande du Nord,Irlande","France,Royaume-Uni"
70929,,Royaume-Uni,France
71234,,Afrique du Sud,"France,Royaume-Uni"
71236,,Allemagne,"France,Paris,Royaume-Uni"
71415,,état-unis,Polynésie française
71506,Italie,Royaume-Uni,"France,Paris"
71545,Espanya,Guissona,"Reus,Catalunya"
71584,,Royaume-Uni,"France,Royaume-Uni"
71734,"Vevey,Suisse",Suisse,Saint-Jean-sur-Richelieu
71752,Canada,North York,Canada
71861,Sri Lanka,Sri Lanka,Canada
71930,Canada,canada,Canada
